"denuncia_numero","hecho_fecha_hora","hecho_provincia","hecho_municipio","hecho_localidad","hecho_discriminacion","hecho_irregularidades","hecho_lugar","hecho_cometido_por","hecho_tipo_violencia","hecho_accion_realizada","denuncia_estado","denuncia_fecha_cambio_estado","denuncia_via_ingreso","denuncia_fecha_hora_carga","hecho_provincia_id"
265,"2012-02-25 04:30:00","Buenos Aires","Quilmes","Quilmes","","El personal de control no esta identificado","En el interior del local - En el acceso local","Controladores - Policias","Agresión verbal - Agresión física","","Derivado","2012-02-28","Call Center","2012-02-28 11:30:00","06"
266,"2012-02-25 02:00:00","Buenos Aires","Lobos","Lobos","Por orientacion sexual","Presencia de menores","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-02-29","Call Center","2012-02-28 12:55:00","06"
267,"2012-02-24 02:00:00","Córdoba","Córdoba","CORDOBA","Por aspecto físico - Por indumentaria - Racial","El personal de control no esta identificado","En el acceso local - En las proximidades del local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Derivado","2012-02-29","Página web de RENCAP ","2012-02-29 14:08:00","14"
268,"2012-03-04 04:30:00","Buenos Aires","Hurlingham","Hurlingham","Por indumentaria","","","","Agresión verbal","","Derivado","2012-03-05","Página web de RENCAP ","2012-03-04 04:57:00","06"
269,"2012-03-04 02:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","Por aspecto físico - Por indumentaria","No exhibe nomina de personal de control habilitado","En el acceso local","Controladores","","","Derivado","2012-03-05","Call Center","2012-03-04 13:20:00","02"
270,"2012-03-03 04:00:00","Buenos Aires","Hurlingham","Hurlingham","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-03-05","Página web de RENCAP ","2012-03-04 18:25:00","06"
271,"2012-01-03 01:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por orientacion sexual - Por indumentaria","El personal de control no esta identificado","En el acceso local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión física - Agresión sexual","","Derivado","2012-03-05","Página web de RENCAP ","2012-03-04 20:02:00","02"
272,"2012-03-03 04:00:00","Entre Ríos","Victoria","VICTORIA","Por orientacion sexual","","En el acceso local","Controladores","","","Derivado","2012-03-07","Call Center","2012-03-07 11:52:00","30"
273,"2012-03-11 04:30:00","Buenos Aires","Florencio Varela","Fcio. Varela","","","En las proximidades del local","Controladores","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2012-03-14","Call Center","2012-03-13 17:12:00","06"
274,"2012-03-11 05:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local","Controladores","Agresión física","","Derivado","2012-03-14","Call Center","2012-03-14 10:40:00","02"
275,"2012-03-14 10:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Parque Patricios","Por aspecto físico","Hay mas personas que las permitidas por la habilitación","","","","","Desestimado","2012-03-16","Página web de RENCAP ","2012-03-14 12:53:00","02"
276,"2006-01-28 12:12:00","Ciudad Autónoma de Buenos Aires","Barrio Recoleta","","","","En el interior del local","","Agresión verbal","","Desestimado","2012-03-16","Página web de RENCAP ","2012-03-15 20:20:00","02"
277,"2012-03-11 03:30:00","Ciudad Autónoma de Buenos Aires","Barrio Belgrano","","Racial","","En el interior del local","Controladores","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2012-03-16","Página web de RENCAP ","2012-03-16 11:25:00","02"
278,"2012-03-16 03:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","","","","Derivado","2012-03-19","Página web de RENCAP ","2012-03-16 13:57:00","02"
279,"2012-03-17 02:15:00","Neuquén","Cutral-Co","CUTRAL-CO","","","En el acceso local","Policias","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2012-03-20","Call Center","2012-03-18 03:01:00","58"
280,"2012-03-18 05:00:00","Buenos Aires","Tigre","Tigre","","El personal de control no esta identificado","En el interior del local","Controladores","Agresión verbal - Agresión física","Se solicitó asistencia policial","Derivado","2012-03-20","Call Center","2012-03-19 08:38:00","06"
281,"2012-03-17 02:15:00","Neuquén","Cutral-Co","CUTRAL-CO","","","En el acceso local","Policias","Agresión verbal - Agresión física","Se hizo denuncia policial","Desestimado","2012-03-20","Call Center","2012-03-19 08:54:00","58"
282,"2012-03-09 04:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación","","","","","Derivado","2012-03-19","Página web de RENCAP ","2012-03-19 11:44:00","02"
283,"2012-02-24 01:30:00","Buenos Aires","Lomas de Zamora","Temperley","","","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-03-21","Call Center","2012-03-20 17:48:00","06"
284,"2012-03-16 04:00:00","Buenos Aires","General San Martín","Villa Gral. San Martín","","Presencia de menores","En el interior del local","","","","Derivado","2012-03-26","Página web de RENCAP ","2012-03-23 14:23:00","06"
285,"2012-03-24 01:20:00","Ciudad Autónoma de Buenos Aires","Barrio Almagro","","Por orientacion sexual","","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-03-26","Call Center","2012-03-26 08:59:00","02"
286,"2012-03-25 03:30:00","Buenos Aires","Lomas de Zamora","Banfield","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2012-03-26","Call Center","2012-03-26 14:35:00","06"
287,"2012-03-15 02:30:00","Córdoba","Córdoba","CORDOBA","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En las proximidades del local","","Agresión verbal","Se solicitó asistencia policial","Derivado","2012-04-03","Página web de RENCAP ","2012-04-01 18:21:00","14"
288,"2012-04-02 01:30:00","Ciudad Autónoma de Buenos Aires","Barrio Nuñez","","Por indumentaria","Hay mas personas que las permitidas por la habilitación","En el acceso local","Controladores","","","Derivado","2012-04-03","Call Center","2012-04-02 03:07:00","02"
289,"2012-04-02 01:15:00","Ciudad Autónoma de Buenos Aires","Barrio Nuñez","","Por indumentaria","No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación","En el acceso local","Personal de empresas de seguridad","","","Desestimado","2012-04-03","Página web de RENCAP ","2012-04-02 15:03:00","02"
290,"2012-04-02 02:10:00","Buenos Aires","Pergamino","Pergamino","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores","","","Derivado","2012-04-03","Call Center","2012-04-02 15:24:00","06"
291,"2012-03-31 04:20:00","Río Negro","San Carlos de Bariloche","SAN CARLOS DE BARILOCHE","","El personal de control no esta identificado","En el interior del local","Personas vinculadas a la empresa","Agresión verbal - Agresión física","Se solicitó asistencia policial","Derivado","2012-04-03","Página web de RENCAP ","2012-04-03 09:23:00","62"
292,"2012-03-01 04:00:00","Buenos Aires","General San Martín","Villa Lynch","Por aspecto físico","El personal de control no esta identificado","En el interior del local","Controladores - Policias","Agresión verbal - Agresión física","","Derivado","2012-04-03","Página web de RENCAP ","2012-04-03 12:50:00","06"
293,"2012-03-31 00:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","","","","Derivado","2012-04-04","Página web de RENCAP ","2012-04-03 16:37:00","02"
294,"2012-04-01 00:30:00","Ciudad Autónoma de Buenos Aires","Barrio Belgrano","","Por aspecto físico - Por indumentaria","","","","","","Derivado","2012-04-04","Página web de RENCAP ","2012-04-03 16:57:00","02"
295,"2012-04-01 00:30:00","Ciudad Autónoma de Buenos Aires","Barrio Belgrano","","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","","","","Derivado","2012-04-04","Página web de RENCAP ","2012-04-03 16:58:00","02"
296,"2012-03-31 03:00:00","Buenos Aires","Mercedes","Mercedes","Por aspecto físico - Por indumentaria","","En el interior del local - En las proximidades del local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa - Policias","Agresión verbal - Agresión física","","Derivado","2012-04-04","Página web de RENCAP ","2012-04-03 18:28:00","06"
297,"2012-03-31 03:00:00","Buenos Aires","Mercedes","Mercedes","Por aspecto físico - Por indumentaria","","En el interior del local - En las proximidades del local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa - Policias","Agresión verbal - Agresión física","","Derivado","2012-04-04","Página web de RENCAP ","2012-04-03 18:38:00","06"
298,"2012-04-01 00:30:00","Ciudad Autónoma de Buenos Aires","Barrio Nuñez","","Por indumentaria","","En el acceso local","Controladores","","","Derivado","2012-04-04","Call Center","2012-04-03 19:57:00","02"
299,"2012-04-05 01:00:00","Ciudad Autónoma de Buenos Aires","Barrio Nuñez","","Por indumentaria","El personal de control no esta identificado","En el acceso local","Controladores - Personas vinculadas a la empresa","","","Derivado","2012-04-09","Call Center","2012-04-05 04:34:00","02"
300,"2012-04-05 01:00:00","Buenos Aires","La Plata","","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores - Personas vinculadas a la empresa","","","Derivado","2012-04-09","Página web de RENCAP ","2012-04-05 16:02:00","06"
301,"2012-04-05 01:00:00","Buenos Aires","La Plata","La Plata","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - Hay mas personas que las permitidas por la habilitación","En el acceso local","Controladores","","","Derivado","2012-04-10","Call Center","2012-04-05 16:24:00","06"
302,"2012-03-31 01:30:00","Córdoba","Córdoba","","Por aspecto físico - Por indumentaria","","En el acceso local","Personas vinculadas a la empresa","","","Derivado","2012-04-09","Página web de RENCAP ","2012-04-05 16:29:00","14"
303,"2012-04-06 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","En el acceso local","","","","Derivado","2012-04-09","Página web de RENCAP ","2012-04-07 04:45:00","02"
304,"2012-04-06 01:10:00","Santa Fe","Rosario","Rosario","","","En el acceso local","Controladores - Policias","","Se hizo denuncia policial","Derivado","2012-04-10","Call Center","2012-04-09 10:33:00","82"
305,"2012-04-07 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Nuñez","","Racial","","En el acceso local","Controladores","","","Derivado","2012-04-10","Call Center","2012-04-09 14:28:00","02"
306,"2012-03-01 01:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-04-11","Call Center","2012-04-10 16:44:00","02"
307,"2012-04-05 03:04:00","Buenos Aires","La Matanza","Tapiales","","El personal de control no esta identificado - Hay mas personas que las permitidas por la habilitación - Presencia de menores","En el acceso local - En las proximidades del local","","Agresión verbal - Agresión física","","Derivado","2012-04-13","Página web de RENCAP ","2012-04-13 03:40:00","06"
308,"2012-04-13 01:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local","Controladores","Agresión física","","Derivado","2012-04-16","Call Center","2012-04-16 09:50:00","02"
309,"2012-04-15 02:30:00","Buenos Aires","Bahía Blanca","","Por aspecto físico","","En el acceso local","","","","Derivado","2012-04-17","Página web de RENCAP ","2012-04-16 13:22:00","06"
310,"2012-04-21 04:00:00","Buenos Aires","Vicente López","Olivos","","","En el interior del local","Controladores","Agresión física","","Derivado","2012-04-25","Call Center","2012-04-24 13:58:00","06"
311,"2012-04-22 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2012-04-25","Call Center","2012-04-24 14:00:00","02"
312,"2012-04-28 07:00:00","Ciudad Autónoma de Buenos Aires","Barrio Colegiales","","","","En el acceso local - En las proximidades del local","Controladores","Agresión verbal","","Derivado","2012-05-02","Call Center","2012-04-28 08:32:00","02"
313,"2012-04-30 01:00:00","Buenos Aires","Morón","Haedo","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el interior del local - En el acceso local","Controladores","","Se hizo denuncia policial","Derivado","2012-05-02","Call Center","2012-04-30 11:37:00","06"
314,"2012-04-30 23:40:00","Buenos Aires","Lanús","Lanús","","","En el acceso local","Controladores","","Se hizo denuncia policial","Derivado","2012-05-02","Call Center","2012-05-02 13:26:00","06"
315,"2012-04-30 23:40:00","Buenos Aires","Lanús","Lanús","","El personal de control no esta identificado - Hay mas personas que las permitidas por la habilitación","En el acceso local","Personas vinculadas a la empresa","Agresión verbal","Se solicitó asistencia policial","Derivado","2012-05-07","Página web de RENCAP ","2012-05-02 22:01:00","06"
316,"2012-04-26 20:40:00","Buenos Aires","San Isidro","San Isidro","Por aspecto físico - Por indumentaria - Racial","","","","","","Derivado","2012-05-07","Página web de RENCAP ","2012-05-04 00:50:00","06"
317,"2012-04-11 01:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local","Controladores - Personas vinculadas a la empresa","Agresión física","","Derivado","2012-05-07","Página web de RENCAP ","2012-05-04 03:03:00","02"
318,"2012-05-05 02:30:00","Mendoza","Luján de Cuyo","LUJAN DE CUYO","Por aspecto físico","","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-05-07","Call Center","2012-05-05 03:24:00","50"
319,"2012-05-05 11:48:00","Buenos Aires","La Plata","Tolosa","","Presencia de menores","","","","","Derivado","2012-05-07","Página web de RENCAP ","2012-05-05 23:48:00","06"
320,"2012-05-06 05:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","Por aspecto físico - Por indumentaria - Por religion - Por ideologia - Racial","","En el interior del local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2012-05-07","Página web de RENCAP ","2012-05-06 06:05:00","02"
321,"2012-05-06 01:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","","","","","","Derivado","2012-05-07","Página web de RENCAP ","2012-05-06 19:03:00","02"
322,"2012-05-12 03:30:00","Buenos Aires","La Plata","Ringuelet","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores","Agresión verbal - Agresión física","Se solicitó asistencia policial","Derivado","2012-05-14","Call Center","2012-05-13 14:00:00","06"
323,"2012-05-13 05:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local","Controladores - Personas vinculadas a la empresa","Agresión física","","Derivado","2012-05-14","Call Center","2012-05-14 14:01:00","02"
324,"2012-05-17 00:15:00","Córdoba","Córdoba","CORDOBA","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-05-17","Call Center","2012-05-17 09:45:00","14"
325,"2012-04-20 23:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","","","","","","Derivado","2012-05-17","Página web de RENCAP ","2012-05-17 12:25:00","02"
326,"2012-05-12 05:30:00","Ciudad Autónoma de Buenos Aires","Barrio Recoleta","","","","En el interior del local","Controladores","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2012-05-22","Call Center","2012-05-17 16:01:00","02"
327,"2012-05-19 02:15:00","Buenos Aires","Lomas de Zamora","Lomas de Zamora","","","En el interior del local - En las proximidades del local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión física","Se solicitó asistencia policial - Se hizo denuncia policial","Derivado","2012-05-22","Página web de RENCAP ","2012-05-21 11:33:00","06"
328,"1998-03-20 02:00:00","Buenos Aires","General Pueyrredón","Mar del Plata","","No exhibe nomina de personal de control habilitado - Presencia de menores","En el interior del local","Controladores","Agresión física","Se hizo denuncia policial","Desestimado","2012-06-22","Call Center","2012-05-24 19:08:00","06"
329,"2012-05-26 03:00:00","Buenos Aires","San Miguel","San Miguel","Por aspecto físico","El personal de control no esta identificado","En el acceso local","Controladores","","","Derivado","2012-05-28","Call Center","2012-05-26 03:32:00","06"
330,"2012-05-12 01:00:00","Santa Fe","Rosario","Rosario","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Personas vinculadas a la empresa","","","Derivado","2012-05-28","Página web de RENCAP ","2012-05-26 15:56:00","82"
331,"2012-05-25 04:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local","Controladores","Agresión verbal - Agresión física","Se solicitó asistencia policial","Derivado","2012-05-28","Call Center","2012-05-28 11:26:00","02"
332,"2012-05-27 03:00:00","Buenos Aires","La Plata","La Plata","","","En el interior del local","Controladores","Agresión física","","Derivado","2012-05-28","Call Center","2012-05-28 13:36:00","06"
333,"2012-05-27 01:30:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Pueyrredón","","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Personal de empresas de seguridad","Agresión verbal","","Derivado","2012-05-30","Página web de RENCAP ","2012-05-29 23:38:00","02"
334,"2012-06-03 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local","Controladores","Agresión verbal - Agresión física","","Derivado","2012-06-04","Call Center","2012-06-04 09:45:00","02"
335,"2012-06-01 03:00:00","Buenos Aires","Zárate","Zárate","","El personal de control no esta identificado - Presencia de menores","En el interior del local - En las proximidades del local","Controladores","Agresión verbal - Agresión física","","Derivado","2012-06-04","Call Center","2012-06-04 09:47:00","06"
336,"2012-05-31 22:50:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","El personal de control no esta identificado","","","","","Derivado","2012-06-04","Página web de RENCAP ","2012-06-04 10:04:00","02"
337,"2012-06-03 23:30:00","Buenos Aires","General Pueyrredón","Mar del Plata","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el interior del local - En el acceso local","Controladores","Agresión verbal - Agresión física","","Derivado","2012-06-04","Página web de RENCAP ","2012-06-04 13:01:00","06"
338,"2012-06-03 02:00:00","Buenos Aires","La Plata","","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2012-06-04","Call Center","2012-06-04 14:24:00","06"
339,"2012-06-10 01:45:00","Buenos Aires","San Isidro","San Isidro","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia","","","","","Derivado","2012-06-12","Página web de RENCAP ","2012-06-11 18:10:00","06"
340,"2012-06-09 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Nuñez","","Racial","","En el acceso local","Personal de empresas de seguridad","Agresión verbal","","Desestimado","2012-06-22","Página web de RENCAP ","2012-06-12 15:17:00","02"
341,"2012-06-09 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Nuñez","","Racial","","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-06-13","Call Center","2012-06-12 16:18:00","02"
342,"2012-06-10 01:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Saavedra","Racial","","","Controladores","Agresión verbal","","Desestimado","2012-06-22","Página web de RENCAP ","2012-06-12 23:15:00","02"
343,"2012-06-17 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por indumentaria","","En el acceso local","Controladores","","","Derivado","2012-06-19","Call Center","2012-06-18 11:18:00","02"
344,"2012-06-17 05:00:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Soldati","","","","En el interior del local - En las proximidades del local","Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2015-11-19","Call Center","2012-06-18 16:45:00","02"
345,"2012-06-20 01:00:00","Buenos Aires","Quilmes","Quilmes","Por indumentaria","Presencia de menores","En el acceso local","Controladores","","","Derivado","2012-06-22","Call Center","2012-06-21 13:14:00","06"
346,"2012-06-20 02:00:00","Mendoza","Godoy Cruz","GODOY CRUZ","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2012-06-22","Call Center","2012-06-22 11:34:00","50"
347,"2012-06-16 20:30:00","Ciudad Autónoma de Buenos Aires","Barrio Almagro","","","","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-06-26","Call Center","2012-06-22 15:18:00","02"
348,"2012-04-06 02:20:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","San Telmo","","No exhibe condiciones de adminsión y permanencia","En el interior del local - En el acceso local","Personal de empresas de seguridad","Agresión verbal - Agresión física","","Derivado","2012-06-26","Página web de RENCAP ","2012-06-25 04:54:00","02"
349,"2012-06-24 06:00:00","Buenos Aires","Bahía Blanca","","","","En el interior del local - En el acceso local","Controladores","Agresión física","Se hizo denuncia policial","Derivado","2012-06-27","Call Center","2012-06-25 09:51:00","06"
350,"2012-06-24 03:30:00","Buenos Aires","Ituzaingó","","","","En el interior del local","Controladores","Agresión verbal","","Derivado","2012-06-26","Call Center","2012-06-26 13:53:00","06"
351,"2011-07-28 00:48:00","Salta","Salta","","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el interior del local","Controladores","","","Derivado","2012-06-26","Call Center","2012-06-26 14:06:00","66"
352,"2012-03-06 01:30:00","Buenos Aires","Morón","Haedo","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2012-06-28","Página web de RENCAP ","2012-06-27 19:32:00","06"
353,"2012-06-05 02:36:00","Buenos Aires","Morón","Haedo","Por aspecto físico","","En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2012-06-28","Página web de RENCAP ","2012-06-27 19:36:00","06"
418,"2012-09-21 23:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","","","","","","Derivado","2012-10-17","Página web de RENCAP ","2012-10-10 22:24:00","02"
419,"2012-06-10 04:00:00","Buenos Aires","Bragado","Bragado","Por ideologia","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","En el interior del local","Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2012-11-01","Página web de RENCAP ","2012-10-14 22:08:00","06"
420,"2012-01-10 01:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Capital Federal","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión física","","Derivado","2012-10-17","Página web de RENCAP ","2012-10-16 09:52:00","02"
421,"2012-10-08 03:15:00","Buenos Aires","Lomas de Zamora","","","","En el interior del local - En el acceso local - En las proximidades del local","Controladores - Policias","Agresión verbal - Agresión física","Se solicitó asistencia policial","Desestimado","2012-10-17","Call Center","2012-10-16 14:55:00","06"
422,"2012-10-14 22:00:00","Ciudad Autónoma de Buenos Aires","Barrio San Nicolás","","Por indumentaria","","En el acceso local","Controladores","","","Derivado","2012-10-17","Call Center","2012-10-16 15:03:00","02"
423,"2012-10-13 20:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","Presencia de menores","","","","","Derivado","2012-10-17","Call Center","2012-10-16 15:10:00","02"
424,"2012-09-24 06:00:00","Buenos Aires","La Matanza","G. de Laferrere","","","En el interior del local","Controladores","Agresión física","Se solicitó asistencia policial - Se hizo denuncia policial","Derivado","2012-10-22","Call Center","2012-10-19 14:50:00","06"
425,"2012-10-19 00:43:00","Tucumán","San Miguel de Tucumán","SAN MIGUEL DE TUCUMAN","Por aspecto físico - Por orientacion sexual","","En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2012-11-01","Página web de RENCAP ","2012-10-25 18:47:00","90"
426,"2012-10-25 03:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","","","En las proximidades del local","Personal de empresas de seguridad - Personas vinculadas a la empresa - Policias","Agresión física","Se hizo denuncia policial","Derivado","2012-10-31","Página web de RENCAP ","2012-10-26 00:06:00","02"
427,"2012-01-10 01:00:00","Córdoba","Córdoba","CORDOBA","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Personas vinculadas a la empresa - Policias","Agresión verbal - Agresión física","","Derivado","2012-10-30","Página web de RENCAP ","2012-10-27 20:35:00","14"
428,"2012-08-09 02:00:00","Buenos Aires","Berisso","Berisso","Por aspecto físico","No exhibe condiciones de adminsión y permanencia - Presencia de menores","","","Agresión verbal","","Derivado","2012-11-01","Página web de RENCAP ","2012-10-27 22:21:00","06"
429,"2012-10-26 02:00:00","Buenos Aires","San Miguel","San Miguel","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores","","","Derivado","2012-11-01","Call Center","2012-10-31 12:57:00","06"
430,"2012-03-11 01:10:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","El personal de control no esta identificado","En el acceso local","","Agresión verbal","","Derivado","2012-12-04","Página web de RENCAP ","2012-11-03 16:36:00","02"
431,"2012-10-28 04:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el interior del local","","Agresión física","Se hizo denuncia policial","Derivado","2012-11-06","Página web de RENCAP ","2012-11-04 12:31:00","02"
432,"2012-10-31 23:00:00","Buenos Aires","Moreno","Paso del Rey","Por aspecto físico","","","Personas vinculadas a la empresa","","","Desestimado","2012-11-07","Call Center","2012-11-05 14:00:00","06"
433,"2012-11-04 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Flores","","Por aspecto físico","","En el acceso local","Controladores","Agresión verbal","","Derivado","2012-11-06","Call Center","2012-11-05 17:36:00","02"
434,"2012-04-11 05:30:00","Buenos Aires","Zárate","Zárate","Racial","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En las proximidades del local","Controladores","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2012-11-13","Página web de RENCAP ","2012-11-07 01:25:00","06"
435,"2012-11-04 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Villa del Parque","","Por aspecto físico","","En el acceso local","Controladores","Agresión verbal - Agresión física","","Desestimado","2012-11-12","Call Center","2012-11-07 15:00:00","02"
436,"2012-11-11 05:00:00","Buenos Aires","Avellaneda","Avellaneda","","","En el interior del local - En las proximidades del local","Controladores","Agresión física","Se solicitó asistencia policial","Derivado","2012-11-16","Call Center","2012-11-14 11:07:00","06"
437,"2012-11-18 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Racial","","En el acceso local","Controladores","","","Derivado","2012-11-20","Call Center","2012-11-19 17:43:00","02"
438,"2012-11-17 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Caballito","","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2012-11-22","Call Center","2012-11-21 12:35:00","02"
439,"2012-10-13 01:00:00","Buenos Aires","General Pueyrredón","Mar del Plata","","","En el acceso local","Controladores","Agresión física","","Derivado","2012-11-22","Call Center","2012-11-21 12:42:00","06"
440,"2012-11-17 04:30:00","Buenos Aires","General Pueyrredón","Mar del Plata","","","En el acceso local","Controladores","Agresión física","","Derivado","2012-11-22","Call Center","2012-11-21 12:52:00","06"
441,"2012-11-17 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores","Agresión verbal - Agresión física","Se solicitó asistencia policial","Derivado","2012-12-04","Call Center","2012-11-21 17:58:00","02"
