ALFABETA;"PRINCIPIO ACTIVO";"MARCA COMERCIAL";PRESENTACION;LABORATORIO;"PVP PAMI AL 30/04/2021";COBERTURA;"IMPORTE AFILIADO"
43491;cilostazol;ACLUSIN;"50 mg comp.x 30";Casasco;675.97;60;270.39
44635;ciprofloxacina;"REXNER XR";"1000 mg comp.x 7";Casasco;1080.7;60;432.28
27685;ciprofloxacina;REXNER;"500 mg comp.x 10";Casasco;781.11;60;312.44
30022;ciprofloxacina;REXNER;"500 mg comp.x 20";Casasco;1434.67;60;573.87
44634;ciprofloxacina;"REXNER XR";"500 mg comp.x 5";Casasco;481.21;60;192.48
30021;ciprofloxacina;REXNER;"500 mg comp.x 6";Casasco;451.09;60;180.44
25261;claritromicina;ISET;"250 mg comp.x 16";Casasco;634.28;60;253.71
24440;claritromicina;ISET;"250 mg/5 ml jbe.x 60 ml";Casasco;925.66;60;370.26
25262;claritromicina;ISET;"500 mg comp.x 16";Casasco;1090.89;60;436.36
25488;claritromicina;"ISET U.D.";"500 mg comp.x 4";Casasco;313.33;60;125.33
25489;claritromicina;"ISET U.D.";"500 mg comp.x 8";Casasco;614.33;60;245.73
54910;claritromicina+ambroxol;"ISET RESPIRATORIO";"500/60 mg comp.x 16";Casasco;925.25;50;462.63
54601;clindamicina;RESBIOTIC;"300 mg caps.x 16";Casasco;579.08;60;231.63
54602;clindamicina;RESBIOTIC;"300 mg caps.x 24";Casasco;819.83;60;327.93
56426;clonazepam;QUAZEMIC;"0.25 mg comp.x 60";Casasco;264.59;50;132.3
46241;clonazepam;QUAZEMIC;"0.5 mg comp.x 30";Casasco;308.8;50;154.4
46242;clonazepam;QUAZEMIC;"0.5 mg comp.x 60";Casasco;497.07;50;248.54
46243;clonazepam;QUAZEMIC;"2 mg comp.x 30";Casasco;328.87;80;65.77
46244;clonazepam;QUAZEMIC;"2 mg comp.x 60";Casasco;466.97;80;93.39
10758;clonidina+clortalidona;BEMPLAS;"comp.x 30";Casasco;338.71;60;135.48
10473;clonidina+clortalidona;BEMPLAS;"comp.x 60";Casasco;647.42;60;258.97
33410;clopidogrel;PLEYAR;"75 mg comp.rec.x 30";Casasco;2525.76;50;1262.88
36177;clortalidona;EURETICO;"50 mg comp.x 30";Casasco;300.96;50;150.48
49557;colina.salicilato+asoc.;DERCOLINA;"jalea x 20 g";Casasco;559.03;50;279.52
53049;colina.salicilato+asoc.;"DERCOLINA A";"jalea x 20 g";Casasco;629.16;50;314.58
49692;desvenlafaxina;VELDEX;"50 mg comp.x 30";Casasco;1099.11;50;549.56
50771;dexketoprofeno;ALGICUR;"25 mg comp.rec.x 20";Casasco;679.76;50;339.88
50772;dexketoprofeno;ALGICUR;"25 mg comp.rec.x 40";Casasco;1148.22;50;574.11
44637;diacereína;COMINAR;"50 mg caps.x 30";Casasco;1224.93;50;612.47
47213;diacereína;COMINAR;"50 mg caps.x 60";Casasco;1902.38;50;951.19
24819;"diclofenac dietilamina";"BLOKIUM GEL";"1.16 g pomo x 50 g";Casasco;531.63;50;265.82
21238;"diclofenac sódico";BLOKIUM;"100mg comp.acc.prol.x 15";Casasco;669.77;50;334.89
21234;"diclofenac sódico";BLOKIUM;"50 mg comp.x 15";Casasco;227.51;50;113.76
21235;"diclofenac sódico";BLOKIUM;"50 mg comp.x 30";Casasco;444.8;50;222.4
21236;"diclofenac sódico";BLOKIUM;"75 mg comp.x 15";Casasco;681.1;50;340.55
21237;"diclofenac sódico";BLOKIUM;"75 mg comp.x 30";Casasco;1228.05;50;614.03
52115;"diclofenac sódico+omeprazol";"BLOKIUM PROTECT";"caps.x 10";Casasco;520.63;50;260.32
50468;"diclofenac sódico+omeprazol";"BLOKIUM PROTECT";"caps.x 30";Casasco;1519.65;50;759.83
21240;diclofenac+paracetamol;"BLOKIUM GESIC";"50/400 mg comp.x 15";Casasco;410.3;50;205.15
21241;diclofenac+paracetamol;"BLOKIUM GESIC";"50/400 mg comp.x 30";Casasco;807.12;50;403.56
23529;diclofenac+pridinol;"BLOKIUM FLEX";"comp.x 15";Casasco;531.36;50;265.68
23530;diclofenac+pridinol;"BLOKIUM FLEX";"comp.x 30";Casasco;893.07;50;446.54
51125;diclofenac+pridinol;"BLOKIUM FLEX";"iny.a.sol.x 3";Casasco;602.27;50;301.14
51126;diclofenac+pridinol;"BLOKIUM FLEX";"iny.a.sol.x 6";Casasco;1008.56;50;504.28
24052;diclofenac+vit.b12+betametasona;"BLOKIUM B12";"comp.x 15";Casasco;772.64;50;386.32
54018;diclofenac+vit.b12+betametasona;"BLOKIUM B12 IM";"iny.x 3";Casasco;865.28;50;432.64
54019;diclofenac+vit.b12+betametasona;"BLOKIUM B12 IM";"iny.x 5";Casasco;1335.84;50;667.92
46818;diclofenac.potásico+betametasona;"BLOKIUM CORT";"comp.x 15";Casasco;631.59;50;315.8
46819;diclofenac.potásico+betametasona;"BLOKIUM CORT";"iny.a.x 5";Casasco;903.75;50;451.88
1913;domperidona+simeticona;BIGETRIC;"comp.x 20";Casasco;397.29;50;198.65
1914;domperidona+simeticona;BIGETRIC;"comp.x 40";Casasco;641.8;50;320.9
36179;donepecilo;LIRPAN;"10 mg comp.x 30";Casasco;1780.12;50;890.06
36178;donepecilo;LIRPAN;"5 mg comp.x 30";Casasco;1409.14;50;704.57
54367;"doxilamina succinato+asoc.";DETIXOL;"cáps.x 30";Casasco;1097.04;50;548.52
49694;dutasteride;PLENUR;"0.5 mg comp.x 30";Casasco;1444.92;50;722.46
24635;enalapril;TENCAS;"10 mg comp.x 30";Casasco;341.54;80;68.31
34252;enalapril;TENCAS;"10 mg comp.x 50";Casasco;539.94;80;107.99
48353;enalapril;TENCAS;"10 mg comp.x 60";Casasco;636.34;80;127.27
24636;enalapril;TENCAS;"20 mg comp.x 30";Casasco;405.72;80;81.14
34254;enalapril;TENCAS;"20 mg comp.x 50";Casasco;680.58;80;136.12
33477;enalapril;TENCAS;"5 mg comp.x 30";Casasco;202.78;80;40.56
34250;enalapril;TENCAS;"5 mg comp.x 50";Casasco;299.35;80;59.87
48352;enalapril;TENCAS;"5 mg comp.x 60";Casasco;374.1;80;74.82
37839;enalapril+hidroclorotiazida;"TENCAS D";"10/25 mg comp.x 30";Casasco;541.87;80;108.37
37840;enalapril+hidroclorotiazida;"TENCAS D";"20/12.5 mg comp.x 30";Casasco;574.85;80;114.97
37060;escitalopram;LEXTOR;"10 mg comp.rec.x 30";Casasco;1363.62;50;681.81
37062;escitalopram;LEXTOR;"20 mg comp.rec.x 30";Casasco;2402.44;50;1201.22
53515;esomeprazol;SINULCUS;"20 mg comp.x 30";Casasco;1367.04;50;683.52
53516;esomeprazol;SINULCUS;"40 mg comp.x 30";Casasco;2050.57;50;1025.29
39793;eszopiclona;MIAPAX;"2 mg comp.x 30";Casasco;610.31;50;305.16
39794;eszopiclona;MIAPAX;"3 mg comp.x 30";Casasco;766.34;50;383.17
54073;etoricoxib;"BLOKIUM COX";"120 mg comp.x 7";Casasco;623.02;50;311.51
54070;etoricoxib;"BLOKIUM COX";"60 mg comp.x 28";Casasco;1558.26;50;779.13
54071;etoricoxib;"BLOKIUM COX";"90 mg comp.x 14";Casasco;1181.69;50;590.85
54072;etoricoxib;"BLOKIUM COX";"90 mg comp.x 28";Casasco;1946.7;50;973.35
37838;ezetimibe;NALECOL;"10 mg comp.x 30";Casasco;714.58;50;357.29
50474;"fenofibrato micronizado";SEGREN;"200 mg caps.x 30";Casasco;1360.72;60;544.29
38116;fexofenadina;ALERCAS;"120 mg comp.x 10";Casasco;491.82;50;245.91
38117;fexofenadina;ALERCAS;"120 mg comp.x 30";Casasco;1430.9;50;715.45
37844;fexofenadina;ALERCAS;"180 mg comp.x 10";Casasco;797.22;50;398.61
37841;fexofenadina;ALERCAS;"60 mg comp.x 10";Casasco;254.36;50;127.18
43968;fexofenadina;ALERCAS;"susp.x 90 ml";Casasco;380.29;50;190.15
51742;fexofenadina+betametasona;"ALERCAS CORT";"comp.rec.x 20 (10+10)";Casasco;477.87;50;238.94
39789;fexofenadina+pseudoefedrina;"ALERCAS D";"comp.x 10";Casasco;534.57;50;267.29
43690;fluconazol;ANTIMICON;"150 mg comp.x 2";Casasco;592.55;50;296.28
43691;fluconazol;ANTIMICON;"150 mg comp.x 4";Casasco;1033.43;50;516.72
41672;fluticasona;INHALAN;"spray nasal x 120 ds.";Casasco;551.16;80;110.23
41671;fluticasona;INHALAN;"spray nasal x 60 ds.";Casasco;291.32;80;58.26
53337;fluticasona+azelastina;"INHALAN AZ";"spray nasal x 120 ds.";Casasco;795.17;50;397.59
49349;"fluticasona+oximetazolina clorh.";"INHALAN PLUS";"spray nasal x 60 ds.";Casasco;535.96;50;267.98
56055;fluticasona+salmeterol;"INHALAN BRONQUIAL 500/50 MCG";"cáps.p/inhal.x 60+aplic.";Casasco;2711.94;60;1084.78
56054;fluticasona+salmeterol;"INHALAN BRONQUIAL 250/50 MCG";"cáps.p/inhal.x 60+aplic.";Casasco;2665.01;60;1066
10756;flúor+calcio;ADOLCAS;"comp.x 60";Casasco;874.32;60;349.73
43844;gabapentin;ELIFER;"100 mg comp.x 30";Casasco;660.27;60;264.11
43845;gabapentin;ELIFER;"300 mg comp.x 30";Casasco;1203.33;60;481.33
43846;gabapentin;ELIFER;"300 mg comp.x 60";Casasco;2147.09;60;858.84
43847;gabapentin;ELIFER;"600 mg comp.x 30";Casasco;1430.66;60;572.26
32796;haloperidol;ENABRAN;"10 mg comp.x 60";Casasco;1209.01;60;483.6
55707;haloperidol;ENABRAN;"2 mg/ml gts.x 30 ml";Casasco;331;60;132.4
51777;hierro+vit.b12+fólico.ác.;REXFOL;"comp.x 30";Casasco;1065.75;50;532.88
49685;homatropina.metilbr.+simeticona;"FACTOR AG ANTIESPASMODICO";"gts.x 30 ml";Casasco;353.3;50;176.65
52589;itopride;IDELIS;"50 mg comp.x 30";Casasco;776.13;50;388.07
40044;ketorolac;"TELEDOL SL";"10 mg comp.subl.x 10";Casasco;440.37;50;220.19
37847;ketorolac;TELEDOL;"20 mg comp.x 10";Casasco;454.86;50;227.43
37848;ketorolac;TELEDOL;"20 mg comp.x 20";Casasco;755.76;50;377.88
40045;ketorolac;TELEDOL;"30 mg amp.x 3 x 2 ml";Casasco;243.55;50;121.78
41443;lamotrigina;LAMOCAS;"100 mg comp.dispers.x 30";Casasco;1507.1;60;602.84
51681;lamotrigina;"LAMOCAS XR";"100 mg comp.x 30";Casasco;1724.34;60;689.74
51682;lamotrigina;"LAMOCAS XR";"100 mg comp.x 60";Casasco;3436.5;60;1374.6
41444;lamotrigina;LAMOCAS;"200 mg comp.dispers.x 30";Casasco;2451.64;60;980.66
41441;lamotrigina;LAMOCAS;"25 mg comp.dispers.x 30";Casasco;577.65;60;231.06
41442;lamotrigina;LAMOCAS;"50 mg comp.dispers.x 30";Casasco;897.85;60;359.14
43271;levetiracetam;CALLEXE;"1000 mg comp.x 30";Casasco;5820.28;50;2910.14
43272;levetiracetam;CALLEXE;"1000 mg comp.x 50";Casasco;9147.28;50;4573.64
43269;levetiracetam;CALLEXE;"500 mg comp.x 30";Casasco;2969.41;50;1484.71
47934;levetiracetam;"CALLEXE XR";"500 mg comp.x 30";Casasco;2741.01;50;1370.51
43270;levetiracetam;CALLEXE;"500 mg comp.x 50";Casasco;4837.8;50;2418.9
45365;levetiracetam;CALLEXE;"500 mg iny.a.x 5";Casasco;2984.42;50;1492.21
47935;levetiracetam;"CALLEXE XR";"750 mg comp.x 30";Casasco;3978.25;50;1989.13
51743;levetiracetam;CALLEXE;"sol.oral x 300 ml";Casasco;5635.83;50;2817.92
43010;levofloxacina;FENTAXINA;"500 mg comp.x 7";Casasco;600.09;60;240.04
43011;levofloxacina;FENTAXINA;"750 mg comp.x 5";Casasco;690.73;60;276.29
39206;"lisado bacteriano";"BRONCHO-VAXOM ADULTOS";"caps.x 10";Casasco;1974.31;50;987.16
43116;"lisado bacteriano";"BRONCHO-VAXOM ADULTOS";"caps.x 30";Casasco;5682.76;50;2841.38
43118;"lisado bacteriano";"BRONCHO-VAXOM NIÑOS";"sobres x 30";Casasco;4344.29;50;2172.15
53243;"lisado bacteriano+vit.a";"VACUNA ORAL CASASCO";"comp.x 30";Casasco;857.52;50;428.76
43969;"lisado bacteriano+vit.a";"VACUNA ORAL CASASCO";"fco.gotero x 30 ml";Casasco;859.86;50;429.93
46820;loratadina+betametasona;"CORTICAS L UD";"comp.x 10";Casasco;386.41;50;193.21
44718;loratadina+betametasona;"CORTICAS L";"comp.x 10";Casasco;367.44;50;183.72
44719;loratadina+betametasona;"CORTICAS L";"sol.oral x 60 ml";Casasco;386.9;50;193.45
37849;losartán;LOPLAC;"100 mg comp.x 30";Casasco;1247.74;80;249.55
50668;losartán;"LOPLAC XR";"100 mg comp.x 30";Casasco;1741.51;80;348.3
23716;losartán;LOPLAC;"50 mg comp.x 30";Casasco;1029.08;80;205.82
52677;losartán;LOPLAC;"50 mg comp.x 60";Casasco;1950.53;80;390.11
37850;losartán+hidroclorotiazida;"LOPLAC D";"100 mg/25 mg comp.x 30";Casasco;1290.75;60;516.3
23717;losartán+hidroclorotiazida;"LOPLAC D";"50 mg/12.5 mg comp.x 30";Casasco;1170.13;60;468.05
54231;memantine;"CARRIER XR";"14 mg comp.x 30";Casasco;1389.65;50;694.83
45366;memantine;CARRIER;"20 mg comp.x 30";Casasco;1955.27;50;977.64
55079;memantine;"CARRIER XR";"21 mg comp.x 30";Casasco;1648.57;50;824.29
54232;memantine;"CARRIER XR";"28 mg comp.x 30";Casasco;1911.45;50;955.73
55078;memantine;"CARRIER XR";"7 mg comp.x 30";Casasco;817.73;50;408.87
34110;memantine;CARRIER;"comp.x 30";Casasco;1464.07;50;732.04
34111;memantine;CARRIER;"comp.x 60";Casasco;2604.23;50;1302.12
46202;"memantine clorh.+donepecilo clor";"CARRIER PLUS";"20/10mg comp.x56 (28+28)";Casasco;2633.01;50;1316.51
46203;"memantine clorh.+donepecilo clor";"CARRIER PLUS";"20/5mg comp.x 56 (28+28)";Casasco;2357.05;50;1178.53
54230;memantine+donepecilo;"LIRPAN PLUS";"14/10mg cáps.x 30";Casasco;2862.13;50;1431.07
54229;memantine+donepecilo;"LIRPAN PLUS";"28/10mg cáps.x 30";Casasco;3161.21;50;1580.61
55704;mesalazina;CONDUCTASA;"1200 mg comp.x 60";Casasco;9525.75;50;4762.88
49184;mesalazina;CONDUCTASA;"500 mg comp.x 60";Casasco;4426.38;50;2213.19
49185;mesalazina;CONDUCTASA;"800 mg comp.x 60";Casasco;7106.2;50;3553.1
55081;minociclina;"LIMAFIL 50";"50 mg comp.x 30";Casasco;623.3;60;249.32
43014;montelukast;MONTRATE;"10 mg comp. x 30";Casasco;1718.73;50;859.37
43012;montelukast;MONTRATE;"4 mg comp.mast.x 30";Casasco;1501.72;50;750.86
43013;montelukast;MONTRATE;"5 mg comp.mast.x 30";Casasco;1617.25;50;808.63
46142;montelukast;MONTRATE;"sob.x 30";Casasco;1442.42;50;721.21
54913;nebivolol;NIRPOL;"10 mg comp.x 28";Casasco;1363.24;50;681.62
54914;nebivolol;NIRPOL;"10 mg comp.x 56";Casasco;2699.48;50;1349.74
47593;nebivolol;NIRPOL;"5 mg comp.x 28";Casasco;778.96;50;389.48
54912;nebivolol;NIRPOL;"5 mg comp.x 56";Casasco;1347.48;50;673.74
49693;nebivolol+hidroclorotiazida;"NIRPOL D";"5/12.5 mg comp.x 28";Casasco;934.69;50;467.35
44645;nimodipina;"EXPLANER LP";"120 mg comp.x 30";Casasco;939.51;50;469.76
11553;nimodipina;EXPLANER;"30 mg comp.x 30";Casasco;424.6;50;212.3
27828;nimodipina;EXPLANER;"30 mg comp.x 60";Casasco;705.56;50;352.78
24055;nimodipina;"EXPLANER 60";"60 mg comp.x 30";Casasco;694.07;50;347.04
27829;nimodipina;"EXPLANER 60";"60 mg comp.x 60";Casasco;1058.17;50;529.09
48013;olanzapina;ENOLEX;"10 mg comp.x 28";Casasco;5912.15;50;2956.08
48012;olanzapina;ENOLEX;"5 mg comp.x 28";Casasco;3001.78;50;1500.89
20603;omeprazol;DANLOX;"10 mg caps.x 28";Casasco;576.25;50;288.13
55837;omeprazol;DANLOX;"10 mg caps.x 30";Casasco;577.39;50;288.7
17605;omeprazol;DANLOX;"20 mg caps.x 28";Casasco;1180.49;50;590.25
55838;omeprazol;DANLOX;"20 mg caps.x 30";Casasco;1084.88;50;542.44
54908;omeprazol;DANLOX;"20 mg caps.x 56";Casasco;1892.78;50;946.39
17606;omeprazol;DANLOX;"40 mg caps.x 14";Casasco;959.6;50;479.8
46521;omeprazol;DANLOX;"40 mg caps.x 28";Casasco;1859.6;50;929.8
55839;omeprazol;DANLOX;"40 mg caps.x 30";Casasco;1917.09;50;958.55
54909;omeprazol;DANLOX;"40 mg caps.x 56";Casasco;3318.64;50;1659.32
42070;orlistat;OLEOFIN;"120 mg caps.x 30";Casasco;1935.39;50;967.7
42071;orlistat;OLEOFIN;"120 mg caps.x 60";Casasco;3587.05;50;1793.53
43688;orlistat;OLEOFIN;"60 mg caps.x 30";Casasco;1165.07;50;582.54
37064;pantoprazol;PANTOCAS;"20 mg comp.x 30";Casasco;507.23;50;253.62
54906;pantoprazol;PANTOCAS;"20 mg comp.x 60";Casasco;911.17;50;455.59
37065;pantoprazol;PANTOCAS;"40 mg comp.x 15";Casasco;417.88;50;208.94
37066;pantoprazol;PANTOCAS;"40 mg comp.x 30";Casasco;823.42;50;411.71
54907;pantoprazol;PANTOCAS;"40 mg comp.x 60";Casasco;1458.3;50;729.15
38608;paroxetina;"TIARIX 10";"10 mg comp.rec.x 30";Casasco;618.16;50;309.08
43842;paroxetina;"TIARIX CR";"12.5 mg comp.x 30";Casasco;1054.31;50;527.16
24815;paroxetina;TIARIX;"20 mg comp.x 30";Casasco;1454.88;50;727.44
43843;paroxetina;"TIARIX CR";"25 mg comp.x 30";Casasco;1187.31;50;593.66
2002;"pool bacteriano";VACUNACE;"sob.x 20";Casasco;878.93;50;439.47
45249;"pool bacteriano";VACUNACE;"sob.x 30";Casasco;1306.63;50;653.32
49187;potasio.citrato;UROKIT;"comp.lib.prol.x 30";Casasco;728.15;50;364.08
49188;potasio.citrato;UROKIT;"comp.lib.prol.x 60";Casasco;1398.19;50;699.1
10540;potasio.citrato;UROKIT;"sob.x 60";Casasco;1164.47;50;582.24
43970;pramipexol;NOXOPRAN;"0.25 mg comp.x 30";Casasco;557.21;50;278.61
43971;pramipexol;NOXOPRAN;"0.25 mg comp.x 60";Casasco;1134.81;50;567.41
43972;pramipexol;NOXOPRAN;"1 mg comp.x 30";Casasco;2166.65;50;1083.33
43973;pramipexol;NOXOPRAN;"1 mg comp.x 60";Casasco;4496.24;50;2248.12
51778;prasugrel;ENIPRAX;"10 mg comp.x 30";Casasco;1951.5;50;975.75
37851;prednisolona+asoc.;"PROCTO VENART";"pda.x 10 g";Casasco;358.77;50;179.39
45254;prednisolona+asoc.;"PROCTO VENART";"pda.x 30 g";Casasco;708.09;50;354.05
45363;pregabalina;NEURISTAN;"150 mg cáps.x 30";Casasco;2317.5;50;1158.75
46522;pregabalina;NEURISTAN;"25 mg cáps.x 30";Casasco;457.26;50;228.63
54227;pregabalina;NEURISTAN;"50 mg cáps.x 30";Casasco;892.1;50;446.05
51805;pregabalina;"NEURISTAN 75 MULTIDOSIS";"75 mg comp.x 30";Casasco;1595.31;50;797.66
45362;pregabalina;NEURISTAN;"75 mg cáps.x 30";Casasco;1485.97;50;742.99
44640;quetiapina;ROSTRUM;"100 mg comp.x 30";Casasco;3327.77;50;1663.89
44641;quetiapina;ROSTRUM;"200 mg comp.x 30";Casasco;4117.8;50;2058.9
47591;quetiapina;"ROSTRUM XR";"200 mg comp.x 30";Casasco;4218.31;50;2109.16
44638;quetiapina;ROSTRUM;"25 mg comp.x 10";Casasco;543.98;50;271.99
44639;quetiapina;ROSTRUM;"25 mg comp.x 30";Casasco;1941.38;50;970.69
47592;quetiapina;"ROSTRUM XR";"300 mg comp.x 30";Casasco;5517.98;50;2758.99
47589;quetiapina;"ROSTRUM XR";"50 mg comp.x 30";Casasco;4004.07;50;2002.04
49690;roflumilast;LEMAST;"0.5 mg comp.x 30";Casasco;1852.01;50;926.01
23714;rosuvastatina;HIPOLIPOL;"10 mg comp.rec.x 28";Casasco;961.74;50;480.87
55841;rosuvastatina;HIPOLIPOL;"10 mg comp.rec.x 30";Casasco;877.56;50;438.78
54923;rosuvastatina;HIPOLIPOL;"10 mg comp.rec.x 56";Casasco;1806.28;50;903.14
24637;rosuvastatina;HIPOLIPOL;"20 mg comp.rec.x 28";Casasco;1765.97;50;882.99
55842;rosuvastatina;HIPOLIPOL;"20 mg comp.rec.x 30";Casasco;1651.28;50;825.64
54924;rosuvastatina;HIPOLIPOL;"20 mg comp.rec.x 56";Casasco;3224.04;50;1612.02
55484;rosuvastatina;HIPOLIPOL;"40 mg comp.rec.x 28";Casasco;2755.06;50;1377.53
55843;rosuvastatina;HIPOLIPOL;"40 mg comp.rec.x 30";Casasco;2954.69;50;1477.35
23712;rosuvastatina;HIPOLIPOL;"5 mg comp.rec.x 28";Casasco;668.38;50;334.19
55840;rosuvastatina;HIPOLIPOL;"5 mg comp.rec.x 30";Casasco;652.77;50;326.39
54922;rosuvastatina;HIPOLIPOL;"5 mg comp.rec.x 56";Casasco;1118.12;50;559.06
31835;ruscogenina+hesperidina+asoc.;VENART;"caps.x 30";Casasco;997.23;50;498.62
31836;ruscogenina+hesperidina+asoc.;VENART;"caps.x 60";Casasco;1785.62;50;892.81
41446;ruscogenina+meliloto.ext.fluido;VENART;"cr.x 30 g";Casasco;448.4;50;224.2
53102;ruscogenina+meliloto.ext.fluido;VENART;"cr.x 60 g";Casasco;793.65;50;396.83
40792;sertralina;"ZOXX 100";"100 mg comp.rec.x 30";Casasco;1633.99;50;817
40791;sertralina;"ZOXX 50";"50 mg comp.rec.x 30";Casasco;972.33;50;486.17
40969;sildenafil;"ACTIVIL MASTICABLE";"50 mg comp.mast.x 2";Casasco;193.26;50;96.63
1949;simeticona;"FACTOR AG";"200 mg comp.x 20";Casasco;243.21;50;121.61
6080;simeticona;"FACTOR AG";"200 mg comp.x 40";Casasco;461.38;50;230.69
1952;simeticona;"FACTOR AG GOTAS";"Ped.gts.x 30 ml";Casasco;350.7;50;175.35
3831;simeticona;"FACTOR AG FORTE";"emuls.x 150 ml";Casasco;328.19;50;164.1
1955;simeticona;"FACTOR AG FORTE";"emuls.x 60 ml";Casasco;210.18;50;105.09
46326;sodio.divalproato;VALCAS;"250 mg comp.x 50";Casasco;1252.86;80;250.57
46327;sodio.divalproato;VALCAS;"500 mg comp.x 50";Casasco;2293.03;80;458.61
47937;solifenacina;SOLIFEN;"10 mg comp.rec.x 30";Casasco;1893.44;50;946.72
47936;solifenacina;SOLIFEN;"5 mg comp.rec.x 30";Casasco;1673.27;50;836.64
53676;solifenacina+tamsulosina;"URALOS MAX";"6mg/0.4mg comp.x30";Casasco;1741.34;50;870.67
50475;tadalafilo;PERDURAL;"20 mg comp.rec.x 2";Casasco;847.34;50;423.67
52251;tadalafilo;PERDURAL;"5 mg comp.rec.x 28";Casasco;3631.11;50;1815.56
44636;tamsulosina;"URALOS CR";"0.4 mg comp.x 30";Casasco;1490.71;50;745.36
32800;terazosina;ANDRIN;"10 mg comp.x 30";Casasco;880.87;50;440.44
32798;terazosina;ANDRIN;"2 mg comp.x 30";Casasco;566.11;50;283.06
32799;terazosina;ANDRIN;"5 mg comp.x 30";Casasco;721.37;50;360.69
49190;tióctico.ác.;TINACTOL;"600 mg comp.x 30";Casasco;2226.85;50;1113.43
49688;topiramato;EPISTAL;"100 mg comp.x 28";Casasco;1861.31;80;372.26
49689;topiramato;EPISTAL;"100 mg comp.x 56";Casasco;3525.99;80;705.2
49686;topiramato;EPISTAL;"25 mg comp.x 28";Casasco;623.7;80;124.74
49687;topiramato;EPISTAL;"50 mg comp.x 28";Casasco;1191.65;80;238.33
55706;trimebutina+simeticona;FACTOREX;"comp.x 60";Casasco;1131.84;50;565.92
48355;valsartán;DILCORAN;"160 mg comp.rec.x 28";Casasco;1274.45;60;509.78
54916;valsartán;DILCORAN;"160 mg comp.rec.x 56";Casasco;2283.96;60;913.58
54228;valsartán;DILCORAN;"320 mg comp.rec.x 28";Casasco;1397.59;60;559.04
54917;valsartán;DILCORAN;"320 mg comp.rec.x 56";Casasco;2542.64;60;1017.06
48354;valsartán;DILCORAN;"80 mg comp.rec.x 28";Casasco;962.93;60;385.17
54915;valsartán;DILCORAN;"80 mg comp.rec.x 56";Casasco;1740.93;60;696.37
50472;valsartán+amlodipina;"DILCORAN PLUS";"160/10 mg comp.rec.x 28";Casasco;1506.48;50;753.24
54919;valsartán+amlodipina;"DILCORAN PLUS";"160/10 mg comp.rec.x 56";Casasco;2725.6;50;1362.8
50471;valsartán+amlodipina;"DILCORAN PLUS";"160/5 mg comp.rec.x 28";Casasco;1456.25;50;728.13
54918;valsartán+amlodipina;"DILCORAN PLUS";"160/5 mg comp.rec.x 56";Casasco;2630.95;50;1315.48
50470;valsartán+hidroclorotiazida;"DILCORAN D";"160/12.5 mg comp.rec.x28";Casasco;1138.78;50;569.39
50469;valsartán+hidroclorotiazida;"DILCORAN D";"80/12.5 mg comp.rec.x 28";Casasco;973.39;50;486.7
54920;valsartán+hidroclorotiazida;"DILCORAN D";"80/12.5 mg comp.rec.x 56";Casasco;1016.76;50;508.38
44644;venlafaxina;"SUNVEX LP";"150 mg caps.x 28";Casasco;1509.93;50;754.97
44642;venlafaxina;"SUNVEX LP";"37.5 mg caps.x 28";Casasco;1025.3;50;512.65
44643;venlafaxina;"SUNVEX LP";"75 mg caps.x 28";Casasco;1040.53;50;520.27
18053;vit.+minerales;"POLPER CALCIO-MAGNESIO";"comp.x 30";Casasco;523.31;50;261.66
39216;vit.a+alantoína+asoc.;"FACTOR AE";"cr.x 100 g";Casasco;478.86;50;239.43
39217;vit.a+alantoína+asoc.;"FACTOR AE";"cr.x 200 g";Casasco;944.98;50;472.49
39218;vit.a+alantoína+asoc.;"FACTOR AE";"emuls.x 100 ml";Casasco;402.45;50;201.23
39219;vit.a+alantoína+asoc.;"FACTOR AE";"emuls.x 200 ml";Casasco;771.38;50;385.69
39220;vit.a+alantoína+asoc.;"FACTOR AE";"emuls.x 400 ml";Casasco;1317.75;50;658.88
56245;vit.d3;CRADA;"sol.oral x 2 ml";Casasco;549.91;50;274.96
49805;aciclovir;"VIROSTATIC 800";"comp.x 20";Cassará;1031.51;60;412.6
49050;betametasona+gentamic.+miconazol;"BETACORT PLUS CASSARA";"cr.dérmica x 25 g";Cassará;392.71;50;196.36
47358;budesonide;"NEUMOCORT + AEROMED";"200 mcg HFA aer.x 200ds.";Cassará;781.54;80;156.31
45935;budesonide;"NEUMOCORT HFA";"200 mcg aer.x 200 dosis";Cassará;528.37;80;105.67
36400;budesonide;"RINO-B 100";"aerosol x 100 dosis";Cassará;469.51;80;93.9
22488;budesonide;"RINO-B 50";"aerosol x 200 dosis";Cassará;469.51;80;93.9
28698;budesonide;"HYPERSOL B 100";"spray nasal x 100 dosis";Cassará;410.29;80;82.06
28697;budesonide;"HYPERSOL B 50";"spray nasal x 200 dosis";Cassará;394.64;80;78.93
50084;budesonide+formoterol;"NEUMOCORT PLUS";"aer./inhal.x 150 ds.";Cassará;1474.66;60;589.86
52142;budesonide+formoterol;"NEUMOCORT PLUS";"aer./inhal.x 60 ds.";Cassará;603.89;60;241.56
36898;cetirizina;ATOPIX;"comp.rec.x 20";Cassará;370.59;50;185.3
37180;cetirizina;ATOPIX;"gts.x 20 ml";Cassará;283.06;50;141.53
